2, 987, 13827, 5301.811111, 36.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
3, 1597, 23695, 5913.285185, 42.96%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
4, 1597, 23695, 6314.666667, 47.78%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
5, 1597, 23695, 6486.893333, 49.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
6, 2584, 35990, 7148.272222, 53.52%, 0.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
7, 2584, 35990, 7657.153968, 57.14%, 0.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
8, 2584, 35990, 8107.875000, 60.14%, 0.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
9, 2584, 35990, 8427.202469, 62.59%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
10, 2584, 35990, 8786.193333, 64.78%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
11, 2584, 39211, 11576.988889, 86.67%, 1.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
12, 2584, 39211, 11674.205556, 85.00%, 0.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13180, 4901.088889, 34.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
2, 987, 14485, 5771.816667, 48.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
3, 1597, 20804, 5946.477778, 46.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
4, 1597, 22820, 6371.975000, 51.39%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
5, 1597, 22820, 6823.104444, 55.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
6, 1597, 24219, 7461.903704, 59.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
