10, 6765, 93615, 19450.989444, 92.41%, 16.16%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13881, 4371.166667, 25.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
2, 987, 13881, 5105.266667, 36.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
3, 1597, 20077, 5648.618519, 42.59%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
4, 1597, 20077, 6281.855556, 48.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
5, 1597, 22718, 6715.948889, 52.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
6, 2584, 30777, 7281.937037, 57.04%, 0.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
7, 2584, 31573, 7750.863492, 60.00%, 0.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
8, 2584, 31573, 8311.513889, 63.61%, 0.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
9, 2584, 31573, 8580.343210, 65.19%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
10, 2584, 35475, 8841.811111, 67.11%, 0.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
11, 2584, 32373, 12473.533333, 84.44%, 1.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 14203, 4415.655556, 28.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
2, 987, 14203, 5320.044444, 37.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
3, 1597, 20284, 5983.162963, 44.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
4, 1597, 21063, 6274.094444, 46.39%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
5, 2584, 33895, 6962.953333, 51.11%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
6, 2584, 33895, 7505.400000, 56.85%, 0.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
